 ,,,Gender
Godtfred Kirk Christiansen,,,Male
Louis Maslow,,,Male
Hércules Barsotti,,,Male
David Bates,,,Male
Leslie Evans,,,
Estella Conwill Majozo,,,Female
John Bock,,,Male
Christopher Brown,,,Male
Cecily Brown,,,Female
Janet Cardiff,,,Female
Willys de Castro,,,Male
Nikolai Lavrent'ev,,,Male
Varvara Rodchenko,,,Female
Anna Maria Maiolino,,,Female
Christian Marclay,,,Male
Beatriz Milhazes,,,Female
Takashi Murakami,,,Male
P. Suvorov,,,
Gillian Wearing,,,Female
Pae White,,,Female
Jerome Olivet,,,Male
Richard Hell,,,Male
Taylor Mead,,,Male
Paolo Lombardi,,,Male
Nedko Solakov,,,Male
Dan Walsh,,,Male
Rudolf Bonvie,,,Male
Claude-Joseph-Désiré Charnay,,,Male
Christopher Giglio,,,Male
Associated Press,,,
George Grantham Bain,,,Male
Alex Anderson/The New York Times,,,Male
Acme News Pictures,,,
Eddie Adams / Associated Press,,,Male
"Abraham Zapruder / Life Magazine, Time Inc.",,,Male
William H. Gallagher/Associated Press,,,Male
Automatic Camera/Photomaton,,,
Bangs Studio,,,
Dominique Berretty/Black Star Publishing Co.,,,Female
Bettmann/United Press International,,,
Neal Boenzi/The New York Times,,,Male
"Blackstar Publishing Co., Inc.",,,
Rene Portocarrero,,,Male
British Official Radiophoto/The New York Times,,,
Arthur Brower/The New York Times,,,Male
Brown Brothers,,,Male
Pat Burns/The New York Times,,,Male
Chuck Burton/Associated Press,,,Male
Camera Arts Studios,,,
Anthony Camerano/Associated Press,,,Male
Pat Candido/The New York Daily News,,,
Peter Carroll/Associated Press,,,Male
Don Hogan Charles/The New York Times,,,Male
Alan Chin,,,Male
Bill Cunningham/The New York Times,,,Male
Francesca Woodman,,,Female
Committee on Public Information,,,
London Daily Mirror,,,
Suzanne DeChillo/The New York Times,,,Female
Vic Delucia/The New York Times,,,Male
Fehim Demir/Agence France-Presse,,,Male
Doty/Times Wide World Press,,,
Richard Drew/Associated Press,,,Male
"Fairchild Aerial Surveys, Inc.",,,
Sam Falk/The New York Times,,,Male
John Filo/Valley Daily News via Associated Press,,,Male
Stanley J. Forman/Boston Herald via Associated Press,,,Male
Berlin Foto Senneke,,,
"Fotograms News Photo Service, Inc.",,,
Fox News,,,
French Pictorial Service,,,
Carl T. Gosset Jr./The New York Times,,,Male
Eddie McGovern,,,Male
Art Greenspon/Associated Press,,,Male
Horst Faas,,,Male
James H. Hare,,,Male
Susan Harris/The New York Times,,,Female
Marc Allégret,,,Male
Harris & Ewing/Times World Wide Photos,,,
Eddie Hausner/The New York Times,,,Male
Albert Hilsher/Times Wide World,,,Male
Bruce Hoertel/The New York Times,,,Male
Hoffman/International Press Studio,,,
John Hubbard/Black Star Publishing Company,,,Male
Auguste Adolphe Bertsch,,,Male
Barney Ingoglia/The New York Times,,,Male
International News Photos Inc.,,,
International Newsreel,,,
Bob Jackson,,,Male
Norman M. Jeannero/Times World Wide Photos,,,Male
Edward Keating/The New York Times,,,Male
Arthur Wesley Dow,,,Male
Keystone View Company,,,
Seydou Keïta,,,Male
Mike Lien/The New York Times from CBS News,,,Male
Lechner/The New York Times,,,
Jay King,,,Male
Meyer Liebowitz/The New York Times,,,Male
Franz Lowy/Times Wide World,,,Male
Herbert Krenchel,,,Male
Arturo Mari/L'Osservatore Romano,,,Male
S.L.A. Marshall,,,Male
Peter Pelzel,,,Male
Medem Photo Service,,,
Ministere De La Guerre,,,
Larry C. Morris/The New York Times,,,Male
Yasuki Nagao/United Press International,,,Male
NASA,,,
Richard Rothman,,,Male
Günther Ssymmank,,,Male
Fred Hansen/Pacific and Atlantic Photos,,,Male
The New York Daily News,,,
Martine Barrat,,,Female
Peter G. Kayafas,,,Male
The New York Times Studio,,,
Cal Osbon,,,Male
Pacific & Atlantic Photos,,,
Keith Pannel/Mail on Sunday,,,Male
Unidentified photographer,,,
Bill Parsons / Nancy Palmer Agency,,,Male
Maria Martinez-Cañas,,,Female
Glen Pettit/The New York Times,,,Male
The Pictoral News Company,,,
Igor Moukhin,,,Male
Douglas C. Pizac/Associated Press,,,Male
Kent Porter/The Press Democrat via Assocated Press,,,Male
Press Illustrating Company,,,
Presse Bild Zentrale,,,
Moscow Presse Cliche,,,
Red Cross Institute for Crippled and Disabled Men,,,
Robert Riger,,,Male
Rollins/Associated Press,,,
Osamu Kanemura,,,Male
Librado Romero/Associated Press,,,Male
Thomas Demand,,,Male
Joe Rosenthal/Times World Wide Photos,,,Male
Alex J. Rota/The New York Times,,,Male
Henry Ruschin,,,Male
William E. Sauro/The New York Times,,,Male
Cliff Schiappa/Associated Press,,,Male
Sammy Schulman/International News Photo,,,Male
Barton Silverman/The New York Times,,,Male
Ernie Sisto/The New York Times,,,Male
J.C.P. Skottowe/Times Wide World Photos,,,Male
Dana Stone/United Press International,,,Female
Stork Club News Service,,,
Captain Cecil W. Stoughton,,,Male
Stroop Report,,,Male
Ray Stubblebine/Associated Press,,,Male
Kryn Taconis/Magnum Photos Co.,,,Male
George Tames/The New York Times,,,Male
Glenn Rudolph,,,Male
Paul Thompson,,,Male
Times Photo Service,,,
Times Wide World Photos,,,
Caroline Feyt,,,Female
Mario Cravo Neto,,,Male
Jean Christian Bourcart,,,Male
Bob Beerman,,,Male
Topical Press Agency,,,
United Press International,,,
United States. Army Air Forces,,,
U.S. Coast Guard,,,
Robert Walker/The New York Times,,,Male
Marilynn K. Yee/The New York Times,,,Female
Yerkes Observatory,,,
Bert Six,,,Male
Freda Diamond,,,Female
Heinreich Löffelhardt,,,Male
Tzarskoe Selo C.E. de Hahn & Co.,,,
Radio Corporation of America,,,
Anne Marie Fishbein,,,Female
Matthias Hoch,,,Male
Curt Richter,,,Male
Carlo Mazzeri,,,Male
Lutz Dille,,,Male
Linnaeus Tripe,,,Male
Georgina Starr,,,Female
Dan Grossi/Associated Press,,,Male
Katherine Turczan,,,Female
Tom Wood,,,Male
Raymond Riley,,,Male
David Shen,,,Male
Theodore C. Brookhart,,,Male
"L.M. Ericsson Telephone Company, Sweden",,,
Hugo Blomberg,,,Male
Ralph Lysell,,,Male
Hans Gösta Thames,,,Male
"Architetti Montagni, Berizzi, Butte",,,
Dario Montagni,,,Male
Sergio Berizzi,,,Male
Cesare Butté,,,Male
A. L. Pugh,,,
S. J. Stein,,,
Jens H. Quistgaard,,,Male
Michio Arai,,,Male
IDEO,,,
William Campbell,,,Male
Michael Cohen,,,Male
Ergonomi Design Gruppen (now Veryday),,,
Giovanni Bassi,,,Male
Gianfranco Masi,,,Male
Saul Nesbitt,,,Male
Franca Stagi,,,Male
Paolo Orlandini,,,Male
Kikukawa Katsuyoshi,,,Female
Martijn Wegman,,,Male
John Mascheroni,,,Male
Gianni Passini,,,Male
Diller + Scofidio,,,
Ernst Lieser,,,Male
Julius Barnes,,,Male
William M. Heynes,,,Male
"Atelier d'Architecture Christian de Portzamparc, Paris",,,
United Nations Headquarters Board of Design,,,
Rafael Viñoly Architects,,,
Taller de Arquitectura,,,
Gregory Baird,,,Male
Rogelio Jimenez,,,Male
Juan Herreros,,,Male
Iñaki Ábalos,,,Male
"Abalos&Herreros, Madrid",,,
Hugo Herdeg,,,Male
Jacob Kohn,,,Male
Tod Williams Billie Tsien and Associates,,,
"Massachusetts Institute of Technology, Cambridge, MA",,,
G. Geist,,,
J. Sawade,,,
Terence Riley,,,Male
Coop Himmelb(l)au,,,
Yushi Uehara,,,Male
Dave Stewart,,,Male
Kazuyo Sejima,,,Female
"Toyo Ito & Associates, Architects",,,
Renzo Piano,,,Male
Alfred Roth,,,Male
"Asymptote Architecture, New York",,,
"Tiffany Studios, New York, NY",,,
"Nuutajärvi Glass Works, Wärtsilä, Finland",,,
"Danese S.r.l., Italy",,,
"Cassina, S.p.A., Milan",,,
"Bonniers, Inc., New York",,,
"Slazengers Ltd., England",,,
"Necchi, S.p.A., Pavia, Italy",,,
"Werkstätte Carl Auböck, Vienna",,,
"Poltronova, Italy",,,
"Focus Belysning, Denmark",,,
"Tupper Corporation, Farnumsville, MA",,,
"Robinson, Lewis and Rubin, Inc., Brooklyn, NY",,,
"AMAC Plastic Products Corp., Sausalito, California",,,
"Thomas Der Rosenthal A.G., Selb, West Germany (now Germany)",,,
"Stirex Innovation AB, Spanga, Sweden",,,
"Hedwin Corp., Baltimore, MD",,,
"Oy Fiskars Ab, Helsinki",,,
"Georg Jensen Sølvsmedie, Copenhagen, Denmark",,,
"Fuso Gomu Ind. Co., Ltd., Tokyo",,,
"Plastic Productions Co., Redwood City, CA",,,
"Helit, Ulm, Germany",,,
"Mepalservice b.v. Lochem (gld), The Netherlands",,,
"Fratelli Guzzini, Italy",,,
"Rosenthal Porzellan A.G., Selb, Germany",,,
"Libbey Glass Company Division, Owens-Illinois Co., Toledo, OH",,,
"Cristalleria Nason e Moretti, Venezia-Murano, Italy",,,
"Venini & Co., Murano, Italy",,,
"Aoshima Shoten Co., Ltd., Japan",,,
"Bauhaus, Dessau",,,
"Westinghouse Electric & Mfg. Co., NY",,,
"Neselco, Copenhagen",,,
"Eastman Kodak Company, Rochester, NY",,,
"Alias SpA, Bergamo, Italy",,,
"C & B Italia, Como, Italy",,,
"AB Gustavsberg Fabriker, Sweden",,,
"Brionvega S.p.A., Italy",,,
"Treitel-Gratz Co., Inc., New York, NY",,,
"Folmer Christensen, Vanlose, Denmark",,,
"J.P. Kayser Sohn, Cologne",,,
"Gavina, Italy",,,
"Sculpture House, New York, NY",,,
"Benedikt von Poschinger Kristallwarenfabric, Oberzwieslau, Germany",,,
"Peter Hamburger Designs, New York, NY",,,
"Zanotta S.p.A., Italy",,,
"GNT Automatic A/S, Soeborg, Denmark",,,
"Braun AG, Frankfurt, Germany, est. 1921",,,
"Moss Tent Works, Camden, ME",,,
"Kimura Glass Co. Ltd., Tokyo",,,
"Louis Poulsen & Co., Copenhagen, Denmark",,,
"Cini & Nils, Milan",,,
"Heath Ceramics, Sausalito, CA",,,
"Bruno Danese, Milan, Italy",,,
"R.E.M. di Rossetti Enrico, Italy",,,
"Terraillon S.R.L., Italy",,,
"Gufram S.R.L., Italy",,,
Unidentified Japanese Manufacturer,,,
"George Kovacs, Lighting Inc., New York, NY",,,
"Vereinigte Lausitzer Glaswerke A.G., Weisswasser, Germany",,,
Unidentified American Manufacturer,,,
"Aurora S.p.A., Torino, Italy",,,
"Alfred H. Barr, Jr.",,,Male
"Sitterle Ceramics, Croton Falls, NY",,,
"Flexform, Italy",,,
"Habitat, Inc., New York, NY",,,
"American Optical Corp., Southbridge, MA",,,
"Cleto Munari, Venice",,,Male
"Wiener Werkstätte, Vienna",,,
"C. Hugo Pott, Solingen, Germany",,,Male
"Herman Miller Furniture Co., Zeeland, MI",,,
"Vortice Elettrosociali, S.p.A., Italy",,,
"Bang & Olufsen, Struer, Denmark",,,
"Iittala Glassworks, Iittala, Finland",,,
S.M. Hexter Company,,,
"Ceramic Japan Co. Ltd., Aichi-ken, Japan",,,
"Lucie Rie Pottery, London",,,
"Akzo Nobel Geosynthetics Company, Asheville, NC",,,
"Kartell S.p.A., Milan, Italy",,,
"Beylerian Ltd., New York, NY",,,
Flos S.p.A.,,,
"Konwiser Inc., New York, NY",,,
"Nikon (Nippon Kogaku K.K.), Tokyo",,,
"Elberel Italiana, Italy",,,
"Revere Copper and Brass, Inc., Rome, NY",,,
"Campeggi, Milan",,,
"Matsushita Electrical Industrial Company, Osaka",,,
"Nemo S.r.L., Rovallesca, Italy",,,
"Eimer & Amend, New York, NY",,,
"IBM, East Fishkill, NY",,,
"International Business Machines Corp., Armonk, NY",,,
"Bracciodiferro S.r.L., Genoa, Italy",,,
"L. Anton Maix Fabrics, New York, NY",,,
"Württembergische Metallwarenfabrik, Geislingen, Germany",,,
"Staatliche Porzellan-Manufaktur, Berlin (now Konigliche Porzellan-Manufaktur)",,,
"Gerhardi & Co., Ludenscheid, Germany",,,
"Ekco Products Co., Chicago, IL",,,
"Elco Bellato, Venice",,,
"Two's Company, Mount Vernon, NY",,,
"Silkar Studios, New York, NY",,,
"Lomonosov Porcelain Factory, Leningrad (now St. Petersburg)",,,
"SIG Workshop Co. Ltd., Ishikawa, Japan",,,
"Ruppelwerk GmbH, Gotha, Germany",,,
"Italjet S.p.A., Bologna",,,
"J.P. Kayser-Sohn Krefeld-Brockman, Germany",,,
"Glass Com Production, Kimura Glass Co. Ltd.,Tokyo",,,
"Gebrüder Thonet A.G., Germany",,,
"Poggi, Italy",,,
"Laverne Originals, New York, NY",,,
"Anoishi Saw Manufacturing Co., Japan",,,
"Cappellini S.p.A., Milan, Italy",,,
"Alessi S.p.A., Italy",,,
"Artemide S.p.A., Milan, Italy",,,
"Iittala, New York, NY",,,
"Synthetic Industries, Chattanooga, TN",,,
Seneca Glass Co.,,,
"Bauhaus Metal Workshop, Germany",,,
"Knoll Associates, New York, NY",,,
"Metallwerkstätte, Staatliches Bauhaus, Germany",,,
"Svenska Artek, Hedemora, Sweden",,,
"Isabel Scott Fabrics, New York, NY",,,
Baralan International S.p.a. Containers for the Cosmetic Industry,,,
"Estler-Regale G.m.b.H., Berlin",,,
"Japan Victor Corporation (JVC), Japan",,,
"Arabia, Wärtsilä Ab, Helsinki, Finland",,,
"Torben Örskov & Co. A/S, Copenhagen",,,
"Coors Porcelain Co., Golden, CO",,,
"The Knoll Group, New York, NY",,,
Hoechst Trevira GmbH,,,
"Allgemeine Elektricitäts Gesellschaft (A.E.G.), Germany",,,
"J. & L. Lobmeyr, Vienna",,,
"Evans Products Co., Molded Plywood Div., Venice, CA",,,
Fritz Hansen,,,
"Hats Incredible, Inc., Braintree, MA",,,
"Knoll Textiles, New York, NY",,,
"Knoll International, Inc., New York, NY",,,
"Dovoplast, Vienna",,,
"Printex Corporation of America, Ossining, NY",,,
"Gebrüder Thonet, Vienna, Austria",,,
"Laverne Inc., New York, NY",,,
Bent Nobert MDD Industrial Design APS,,,
"Kandya, England",,,
"Svenskt Tenn, Stockholm",,,
"The Watertown Manufacturing Co., Watertown, CT",,,
"Angelo Testa Co., Chicago",,,
Mobles 114,,,
"Design House Stockholm AB, Stockholm",,,
"Zenith Radio Corporation, Chicago, IL",,,
Easy Edges Inc.,,,
"Luceplan, S.p.A., Italy",,,
"Fasem International srl, Vicopisano, Italy",,,
University of California Los Angeles Team,,,
"Chemex Corp., New York, NY",,,
Hilde Hubbuch,,,Female
San Lorenzo SRL,,,
"Danese S.r.l., Italy",,,
"Stendig, Inc., New York, NY",,,
"Alberto Bazzini, Milan, Italy",,,Male
"Driade S.p.A., Italy",,,
"Firma Karl Mathsson, Varnamo, Sweden",,,
"FlosUSA, Huntington Station, NY",,,
"OWO (now XO), Brie-Comte-Robert, France",,,
"Aram Designs Ltd., London",,,
"Officina Alessi, Italy",,,
"OWO, Montfort-l'Amaury, France",,,
"Ritz-Italora, Milan, Italy",,,
"Agfa-Gevaert AG, Munich",,,
"B & B Italia, S.p.A., Como, Italy",,,
"Ing. C. Olivetti & C. S.p.A., Ivrea, Italy",,,
"Unidentified British Manufacturer, England",,,
"Haagsche Plateelbakkerig Rozenburg, The Hague",,,
"Dorothy Liebes Textiles Inc., New York, NY",,,
Unidentified Czechoslovakian Manufacturer,,,
"Heller, New York, NY",,,
"Alfi, Wertheim, Germany",,,
"Tigrett Enterprises, Chicago, IL",,,
"Thomson Consumer Electronics, France for Saba, France",,,
"Braquette, Inc., New York, NY",,,
"Berthold Palme, Czech Republic",,,
"Ficks Reed Co., Cincinnati, OH",,,
"Brunschwig & Fils, New York, NY",,,
Unidentified German Manufacturer,,,
"Vitra AG, Switzerland",,,
"Joaquin Pottery Co., Stockton, CA",,,
"Kosta Glasbruk, Sweden",,,
"Artek-Pascoe, Inc., New York, NY",,,
"Blenko Glass Co., Inc., Milton, WV",,,
"Stadler Werkstätten, Nonnenhorn, Germany",,,
"The Isokon Furniture Company, London",,,
"Superior Toy and Mfg., Co., Chicago, IL",,,
"Shoe Form Co., Inc., Utility Box Div., Auburn, NY",,,
"Alessi, Crusinallo, Italy",,,
"Klise Manufacturing Co., Grand Rapids, MI",,,
"Chas. D. Briddell, Inc., Crisfield, MD",,,
Flos USA,,,
"W.R. Case & Sons Cutlery Co., Bradford, PA",,,
"Nessen Studio, Inc. (now Nessen Lamps, Inc.), New York",,,
"Crayonne Ltd., Sudbury-on-Thames, England",,,
"Technics, Secaucus, NJ",,,
France Fluocaril,,,
"Mardigian Corp., Detroit, MI",,,
"W. Rosenlew and Co., Finland",,,
"Imperial Glass Corp., Bellaire, OH",,,
"Johannes Hansen, Denmark",,,Male
"Kensington, Inc., New Kensington, PA",,,
"Kaneko Orimono Co., Ltd., Gumma, Japan",,,
"Kimura Senko Co., Ltd., Shinga, Japan",,,
"Mitasho Co., Ltd., Gunma, Japan",,,
"Landers, Frary & Clark, New Britain, CT",,,
"NUNO Corporation, Tokyo, Japan",,,
"Umentani Craft, Kyoto",,,
"Lenox, Inc., Trenton, NJ",,,
"Seguso S.R.L., Murano, Italy",,,
"Sakase Adtech Co., Fukui, Japan",,,
"Urase Co., Ltd., Fukui, Japan",,,
"Yamazaki Vellodo Co., Ltd.",,,
"Tsuguo Co., Ltd., Yamanashi, Japan",,,
"Evans Products Co., Venice, California",,,
"S. Yoshimura Co., Ltd., Fukui City, Japan",,,
"Marrell Studios, San Francisco, CA",,,
"Seiren Co., Ltd., Fukui, Japan",,,
"Tiffany Glass & Decorating Co., New York, NY",,,
"Lenore Tawney, New York, NY",,,
"The Gorham Co., Providence, RI",,,
"Werkstätten Karl Hagenauer, Vienna",,,
"General Lighting Co., Brooklyn, NY",,,
"Harvill Corp., Los Angeles, CA",,,
"R.A. Frederick Co., United States",,,
"The Hobart Manufacturing Company, Troy, Ohio, established 1897",,,
Unidentified Russian manufacturer,,,
"BP Solar (British Petroleum Solar), Aylesbury, England",,,
"Metal-Lite Products, Inc., Bay City, MI",,,
"Sony Corporation of America, Park Ridge, NJ",,,
"G.M. Thurnauer Co., Czechoslovakia",,,
"Neuzeughammer Ambosswerk, Austria",,,
"Yamaha Corporation, Hamamatsu, Japan",,,
Vitra International AG,,,
"Embru-Werke Mantel & Cie., Rüti, Switzerland",,,
NEC Corporation,,,
"Tiroler Glashütte, Claus Joseph Riedel K.G., Kufstein/Tirol, Austria",,,
Gaudí's Workshop,,,
"Emor Radio Company, Ltd., England",,,
"Karhula Glassworks, Finland",,,
"Rookwood Pottery, Cincinnati, OH",,,
"Lohmann GmbH and Co., Neuwield, Germany",,,
"Liberty & Co., Ltd., London",,,
"Vereinigte Werkstätten für Kunst im Handwerk, Munich",,,
"Daum Frères, Nancy, France",,,
"Jaguar Ltd., Coventry, England",,,
"Jenaer Glaswerk, Schott & Genossen, Jena, Germany",,,
"Nakayamafuku Company, Ltd., Osaka",,,
"Miyashin Co., Ltd., Tokyo",,,
"Karlsson & Nilsson, Sweden",,,
"Popeet Container Corp., Verona, NJ",,,
"Whitefriars Glassworks, England",,,
"Kenco Products Corp., New Kensington, PA",,,
"Heuer-Leonidas S.A., Bienne, Switzerland",,,
U.S. Armor Corporation,,,
"Woodnotes Oy, Helsinki",,,
"Bell Sports, Inc., California",,,
"N.V. Schlegel S.A., Gistel, Belgium",,,
"Craftsman Workshops, Eastwood, New York",,,
"Mindset Corporation, Sunnyvale, CA",,,
"A. Michelsen Silversmith, Denmark",,,
"I.P. Lunds, Denmark",,,
"Lalance & Grosjean Mfg. Co., Woodhaven, NY",,,
"Sears Roebuck Co., USA",,,
"Robert Barber, Inc., New York, NY",,,
"Dunbar Furniture Manufacturing Corp., Berne, IN",,,
"Langbein, Giftwares Div., Brooklyn, NY",,,
"Maison B. Bottet Père, Lyon",,,
"Bell Helicopter Inc., Buffalo, NY",,,
"Race Furniture Ltd., Sheerness, England",,,
"INAX Corporation, Tokoname, Japan",,,
"Widdicomb Furniture Co., New York, NY",,,
"Wärtsilä-Koncernen AB, Notsjö Glasbruk, Finland",,,
"Toray Industries, Inc., Tokyo",,,
"Joseph Franken Decorative Accessories, New York, NY",,,
"Dansk Aluminum Industri N/S, Copenhagen, Denmark",,,
"N.V. Koninklijke Nederlandse Glasfabriek, Leerdam, The Netherlands",,,
Lemurian Crafts,,,
"André Giraud & Brousseau, Limoges, France",,,
"Stede, Inc., Chicago",,,
Raymond Loewy,,,Male
"The Hallicrafters Co., Chicago, IL",,,
"Fabry Associates, Inc., New York, NY",,,
"A. Bianchi srl/Bilumen, Milan",,,
"McDonnell Aircraft Corp., St. Louis, MO",,,
"Amefa Alpeldoornse, Apeldoorne, The Netherlands",,,
"Kromex Sales Co., Cleveland, OH",,,
"Porzellanfabrik, Arzberg, Germany",,,
"ETAC, Sweden",,,
"Alsterfors, Sweden",,,
"Tendo Co., Ltd., Tokyo, Japan",,,
"Herman Miller, Inc., Zeeland, MI",,,
"Bieffeplast S.p.A., Padua, Italy",,,
"Haussmann & Haussmann, Zurich",,,
"The Gillette Company, Boston, MA",,,
"Carrollton Metal Products Company, Carrollton, OH",,,
"Bruno Ninaber Van Eyben Design & Production, Boxtel, Holland",,,
"Almo, New York",,,
"Collins Company, Collinsville, CT",,,
"Swift & Anderson, Inc., Boston, MA",,,
"RFSU Rehab, Stockholm, Sweden",,,
"Sylvania Electric Products, Inc., New York, NY",,,
"Bridges Musical Instruments, Canada",,,
"Thonet Frères, Paris, France",,,
"Canon, Inc., Japan",,,
"Swedese Mobler AB, Sweden",,,
"SIGG, Switzerland",,,
"Stelton A/S, Copenhagen, Denmark",,,
"Bang & Olufsen of America, Mount Prospect, IL",,,
"Cravell, Inc., Long Island, NY",,,
"G. Soderstrom, Helsinki",,,
"Creative Playthings, Princeton, New Jersey",,,
"Kurt Versen Co., Englewood, NJ",,,
"Gerber Legendary Blades, Portland, OR",,,
"A.L. Hirsch & Co., New York, NY",,,
"Viking Glass Co., New Martinsville, WV",,,
"Menlo Textiles, Menlo Park, CA",,,
Maurice Rheims,,,Male
"William Hutton & Sons, Sheffield, England",,,
"Konrad König, Munich",,,Male
"Frantz Hingelberg, Aarhus, Denmark",,,Male
"Dresdner Werkstätten für Handwerkskunst, Dresden",,,
"Louisville Tackle Co., Louisville, KY",,,
"The Silex Company Boston, MA (now Silex & Equipment Div., Bloomfield Industries, New York, NY)",,,
"Markle Featherlite Products Corp., Rochester (later in Oak Park), MI",,,
"The Van Dorn Iron Works Co., Cleveland, OH",,,
"Deutsche Werkstaetten GmbH, Hellerau, Germany",,,
"Deutsche Werkstätten für Handwerkskunst, Germany",,,
"Nybro, Sweden",,,
"Iroquois China Co., Syracuse, NY",,,
"The Yale & Towne Mfg. Co., Stamford, CT",,,
"Schwintzer & Gräff, Berlin",,,
"American Steel & Wire Co., Worcester, MA",,,
Telex Electro Acoustic Division,,,
"Aluminum Company of America, Pittsburgh, Pennsylvania",,,
"Riverside China, Riverside, CA",,,
"Körtig & Matthiesen, Leipzig, Germany",,,
"Bauhaus Weaving Workshops, Weimar",,,
"Karhula-Iittala, Iittala, Finland",,,
"Warehouse Point Co., Warehouse Point, CT",,,
"Hemco Plastics Div. of Bryant Electrical Co., Bridgeport, CT",,,
Eliot Noyes and Associates,,,
"Asko, Lahti, Finland",,,
"Authentics artipresent GmbH, Germany",,,
"Unifor S.p.A., Turate, Italy",,,
"The Hartford Products Corp., Chicago, IL",,,
"Ansa Bottle Company, Inc., Muskogee, OK",,,
"Porzellanfabrik, Schoenwald, Germany",,,
"E. Kold Christensen, Copenhagen, Denmark",,,
"Alessi Fratelli S.p.A., Crusinallo, Italy",,,
"Hospitalsartikler A/S, Solberg, Denmark",,,
"Tecno S.p.A., Milan",,,
"Carl Hansen and Son, Odense, Denmark",,,
"New City Editions, Venice, CA",,,
"Hudson Fixtures, USA",,,
"Hall's Wheels, Cambridge, MA",,,
"Hall China Co., East Liverpool, OH",,,
"Mutual Sunset Lamp Mfg. Co., New York, NY",,,
"Intel Corporation, Santa Clara, CA",,,
Stanley-Bostitch,,,
"Wohnbedarf AG, Zürich",,,
"Rudolf Held, Schelklingen, Germany",,,Male
"The Aluminum Cooking Utensil Co., New York, NY",,,
"Küschall of America, Camarillo, CA",,,
"Antiference Ltd., Aylesbury, England",,,
"Prophylactic Brush Co., Prolon Div., Florence, MA",,,
"Olivetti Underwood Corporation, New York, NY",,,
"Design M Ingo Maurer GmbH, Munich",,,
Sargent & Co.,,,
"Mitsuboshi Company, Seki-city, Gifu, Japan",,,
"Raymar Industries, Inc., New York, NY",,,
"Tyke Corporation, Chicago, IL",,,
"Brown & Sharpe Mfg. Co., Providence, RI",,,
"West Bend Aluminum Co., Wisconsin",,,
"G. B. Plast, Bologna, Italy",,,
"Rossi & Arcandi, Vicenza, Italy",,,
"International Silver Co., Meriden, CT",,,
"Allan Adler Handwrought Silver, Hollywood, CA",,,
"V'Soske Shops, Grand Rapids",,,
"Sinclair Radionics Ltd., Huntingdon, England",,,
"J.W. Hukin & J.T. Heath, London",,,
"Elkington & Co., England",,,
Alfred E. Knobler & Co.,,,
"Fopais Franchini, Milan",,,
"Godley-Schwan, PA",,,Male
"Anchor Tool Co., USA",,,
Fortuny,,,
"Ishimaru Co., Japan",,,
"Escofet y Ca, Barcelona",,,
"Eugene Dietzgen Company, New York, NY",,,
Victor Tool Co.,,,
"Castleton China Co., New Castle, PA",,,
Hutzler Manufacturing Co.,,,
"Wecolite Co., New York, NY",,,
"Franz Schneider Brakel GmbH & Co., Germany",,,
"S.A. des Cabléries et Tréfileries Cossonay, Switzerland",,,
"Northampton Cutlery Company, Northampton, MA",,,
"S.K.F. Industries, Inc., Hartford, CT",,,
"Emilio Lagostina, S.p.A., Italy",,,
"Chase Brass & Copper Co., Waterbury, CT",,,
"Jernbolaget, Eskilstuna, Sweden",,,
"Federal Tool Co., Inc., Springfield, MA",,,
"Rheemax, Inc., USA",,,
"Scovill Mfg. Co., Plumbers Brass Goods Div., Waterbury, CT",,,
"Niels Vodder, Allerod, Denmark",,,Male
"Designum, The Netherlands",,,
"Neils Vodder, Cabinetmaker, Copenhagen",,,
"Manhattan Wire Goods Co., Inc., USA",,,
"Ciciban Shoe & Children's Ware Factory, Yugoslavia",,,
"Harry Allen and Associates, USA",,,
"Goodell Co., Antrim, NH",,,
"Baker Furniture, Inc., Grand Rapids, MI",,,
"Sandvikens Jernverks A.B., Sweden",,,
"Akari Associates, Long Island City, New York",,,
"Artek Oy, Helsinki",,,
"Thyco Electrical Products, Inc., Los Angeles",,,
"Compagnie des Cristalleries de Baccarat, Paris, France",,,
"The L.S. Starrett Co., Athol, MA",,,
"Western Electric, New York, NY",,,
"Radius GmbH, Germany",,,
"BioMechanical Composites, CA",,,
"Gedy S.p.A., Milan",,,
"N.S. Gustin Co., New York",,,
"Middletown Mfg. Co., Middletown, NY",,,
"Josiah Wedgwood & Sons Ltd., Stoke-on-Trent, England",,,
Bell Laboratories,,,
"Cesar Color, Inc., USA",,,
"Künstlerwerkstätten Verein, Vienna",,,
Karl Krehan,,,Male
"Keramik Manufaktur Kupfermuehle, Germany",,,
"Jenaer Glaswerk Schott & Gen., Mainz, Germany",,,
"The Lancaster Lens Co., Lancaster, OH",,,
"BMI, Germany",,,
"The Dow Chemical Company, USA",,,
Arturo Schwarz,,,Male
"Bob Evans Designs, Inc., USA",,,
"Vittorio Necchi, Pavia, Italy",,,Male
"Grasoli-Werk Gebr. Grah, Solingen, Germany",,,
"Riihimäen Lasi Oy, Riihimäki, Finland",,,
"Designs for Vision, Inc., USA",,,
"N.V. Keramische Industrie Fris, Edam, The Netherlands",,,
"Lecson Audio Limited, Cambridge, England",,,
"Style, Milan",,,
"Figla Co., Ltd., Japan",,,
"Amcor, Ltd., Tel Aviv",,,
"Foscarini Murano S.p.A., Italy",,,
"Club Aluminum Products Co., Chicago, IL",,,
