 ,,,Gender
Janez Bernik,,,Male
Judith Bernstein,,,Female
Richard Bernstein,,,Male
Jean Berque,,,Male
Miguel Ortiz Berrocal,,,Male
Bertall & Cie.,,,
M. Berthaud,,,Male
Palme Berthold,,,
Berthold-Mahn (Charles Désiré),,,Male
René Bertholo,,,Male
Paul Berthon,,,Male
Jake Berthot,,,Male
Gianni Bertini,,,Male
Harry Bertoia,,,Male
Emilio Bertonati,,,Male
Albert Besnard,,,Male
Forrest Bess,,,Male
Ruth Bessoudo Courvoisier,,,Female
Alan Randall Best,,,Male
William Betsch,,,Male
Pierre Betz,,,Male
Wim Beuning,,,Male
Joseph Beuys,,,Male
Art Bevacqua,,,Male
Thomas Bewick,,,Male
Jyoti Bhatt,,,Male
Domenico Bianchi,,,Male
Pamela Bianco,,,Female
Fulvio Bianconi,,,Male
Carl Bianga,,,Male
Alberto Biasi,,,Male
Guido Biasi,,,Male
Ashley Bickerton,,,Male
George Biddle,,,Male
Charles Biederman,,,Male
James Biederman,,,Male
Aenne Biermann,,,Female
Wilson Bigaud,,,Male
Max Bill,,,Male
Joseph Binder,,,Male
Ilse Bing,,,Female
Robert J. Bingham,,,Male
Manfred Bingler,,,Male
Peter Birkhauser,,,Male
Robert Birmelin,,,Male
Werner Bischof,,,Male
Elmer Bischoff,,,Male
Isabel Bishop,,,Female
James Bishop,,,Male
Michael Bishop,,,Male
Maureen Bisilliat,,,Female
Antonio Bisquert Pérez,,,Male
Julius Bissier,,,Male
Roger Bissière,,,Male
George Bissill,,,Male
Auguste-Rosalie Bisson,,,Male
Louis-Auguste Bisson,,,Male
Arnold Bittleman,,,Male
Dolores Dembus Bittleman,,,Female
Ion Bitzan,,,Male
Judith Black,,,Female
James Wallace Black,,,Male
Roman Black,,,Male
Wendell Black,,,Male
Elizabeth Blackadder,,,Female
Morris Blackburn,,,Male
Tom Blackwell,,,Male
Ronald Bladen,,,Male
Nell Blaine,,,Female
Jean-Charles Blais,,,Male
Jeffrey Blake,,,Male
Peter Blake,,,Male
Camilo Blas (José Alfonso Sánchez Urteaga),,,Male
Werner Blaser,,,Male
Edwin Howland Blashfield,,,Male
Ross Bleckner,,,Male
René Bleibtreu,,,Male
Blessum,,,
André Bloc,,,Male
Albert Bloch,,,Male
Julius Thiengen Bloch,,,Male
Pierrette Bloch,,,Female
Clarence Lincoln Block,,,Male
Gay Block,,,Female
Barbara Bloom,,,Female
Hyman Bloom,,,Male
Vern Blosum,,,Male
Sandra Blow,,,Female
Oscar Bluemner,,,Male
Norman Bluhm,,,Male
Donald Blumberg,,,Male
Anna Blume,,,Female
Bernhard Blume,,,Male
Peter Blume,,,Male
Erwin Blumenfeld,,,Male
Marcello Boccacci,,,Male
Umberto Boccioni,,,Male
Mel Bochner,,,Male
Bengt Böckman,,,Male
Peter Bodnar,,,Male
Alighiero Boetti,,,Male
Marinus Boezem,,,Male
Ricardo Bofill,,,Male
Arthur Emil Bofinger,,,Male
Jóhanna Boga,,,Female
Varujan Boghosian,,,Male
Theodor Bogler,,,Male
Alexander Bogomazov,,,Male
Blythe Bohnen,,,Female
Olaf von Bohr,,,Male
Karl Bohrmann,,,Male
Bruce Boice,,,Male
Charles Boily,,,Male
Frédéric Boissonnas,,,Male
Richard Boix,,,Male
Jakob (Jack) Friedrich Bollschweiler,,,Male
Roger Bolomey,,,Male
Jay Bolotin,,,Male
Ilya Bolotowsky,,,Male
Christian Boltanski,,,Male
David Bomberg,,,Male
Camille Bombois,,,Male
Giorgio Bompadre,,,Male
Bona,,,Female
Claus Bonderup,,,Male
Emile Bondonneau,,,Male
Muirhead Bone,,,Male
Antonio Bonet,,,Male
Rodolfo Bonetto,,,Male
Marcelo Bonevardi,,,Male
Felix Bonfils,,,Male
Dusti Bongé,,,Female
Paolo Boni,,,Male
Pierre Bonnard,,,Male
William Bonnell,,,Male
Maria Bonomi,,,Female
Robert Bononno,,,Male
Lee Bontecou,,,Female
Fabio Bonzi,,,Male
Peter Booth,,,Male
Osvaldo Borda,,,Male
Enrico Bordoni,,,Male
Paul-Émile Borduas,,,Male
Wendela Boreel,,,Female
Francisco Borès,,,Male
Norah Borges de Torre,,,Female
Jonathan Borofsky,,,Male
Arnold von Borsig,,,Male
Elena Borstein,,,Female
Sándor (Alexander) Bortnyik,,,Male
Fritz Boscovits,,,Male
Derek Boshier,,,Male
Richard Bosman,,,Male
Michael P. Bosniak,,,Male
Rodolphe-Théophile Bosshard,,,Male
Check  Boterf,,,Male
Fernando Botero,,,Male
Dorr Bothwell,,,Female
Mario Botta,,,Male
Kenneth J. Botto,,,Male
Édouard Boubat,,,Male
René Robert Bouché,,,Male
Jean Boucher,,,Male
Alice Boughton,,,Female
Bouillon,,,
Firmin Bouisset,,,Male
Bart Boumans,,,Male
Christine Boumeester,,,Female
Louis Bouquet,,,Male
Harry Bouras,,,Male
Émile-Antoine Bourdelle,,,Male
Jouineau Bourduge,,,
Louise Bourgeois,,,Female
Fergus Bourke,,,Male
Margaret Bourke-White,,,Female
Samuel Bourne,,,Male
J. Bouski,,,
Jean-Louis Boussingault,,,Male
Henri Boutet,,,Male
Boutrou,,,
Lynn Bowers,,,Male
Frank Bowling,,,Male
Stanley Boxer,,,Male
Fiske Boyd,,,Male
Fionnuala Boyd,,,Female
James Henderson Boyd,,,Male
Mark Boyle,,,Male
James Boynton,,,Male
Paul Brach,,,Male
Ángel Bracho,,,Male
M. Leone Bracker,,,Male
Su Braden,,,Female
Martin Bradley,,,Male
Paul Bradley,,,Male
William Bradley,,,Male
Dove Bradshaw,,,Male
Mathew B. Brady (studio of),,,Male
Joe Brainard,,,Male
Emile Branchard,,,Male
Constantin Brâncu_i,,,Male
Hans Brand,,,Male
Bill Brandt,,,Male
Marianne Brandt,,,Female
Robert Brandwein,,,Male
Frank Brangwyn,,,Male
Georges Braque,,,Male
Brassaï (Gyula Halász),,,Male
John Randall Bratby,,,Male
Pieter Brattinga,,,Male
Adolphe Braun,,,Male
Braun et Compagnie,,,Male
Victor Brauner,,,Male
Troy Brauntuch,,,Male
Claudio Bravo,,,Male
Stipe Br_i_,,,Male
George Brecht,,,Male
Charles H. Breed,,,Male
Robert Breer,,,Male
Carl-Arne Breger,,,Male
K. P. Brehmer,,,Male
Raymond Breinin,,,Male
Joseph Breitenbach,,,Male
Bjorn G. Breitholtz,,,Male
Uwe Bremer,,,Male
Miguel Bresciano,,,Male
Rodolphe Bresdin,,,Male
André Breton,,,Male
Marcel Breuer,,,Male
William Brice,,,Male
Charles D. Briddell,,,Male
Marilyn Bridges,,,Female
Barry Bridgwood,,,Male
G. Stanislaus Brien,,,
Judson Briggs,,,Male
Anne W. Brigman,,,Female
Serge Brignoni,,,Male
Denis Brihat,,,Male
Enrique Brinkmann,,,Male
Horace Bristol,,,Male
L. N. Britton,,,
René Brô,,,Male
John Brockman,,,Male
Gottfried Brockmann,,,Male
Gandy Brodie,,,Male
Alexey Brodovitch,,,Male
Alexander Brodsky,,,Male
Jürgen Brodwolf,,,Male
Stephen Brody,,,Male
Horace Brodzky,,,Male
Stig Brøgger,,,Male
Robert Broner,,,Male
Marcel Broodthaers,,,Male
Alexander Brook,,,Male
John Brook,,,Male
James Brooks,,,Male
Milton Brooks,,,Male
Wendell Brooks,,,Male
Harry Brorby,,,Male
Joan Brossa,,,Male
Gary Stephen Brotmeyer,,,Male
Arthur William Brown,,,Male
Gustav A. Brown,,,Male
James Brown,,,Male
Joan Brown,,,Female
Kathan Brown,,,Female
Margaret DeM Brown,,,Female
Ray Brown,,,Male
Roger Brown,,,Male
Byron Browne,,,Male
Colleen Browning,,,Female
Robert Brownjohn,,,Male
Kenneth Brozen,,,Male
Roser Llop Bru,,,Female
Salvador Bru,,,Male
Jon O. Brubaker,,,Male
Patrick Henry Bruce,,,Male
Anton Bruehl,,,Male
Francis Bruguière,,,Male
Paul Brühwiler,,,Male
William Brui,,,Male
Brumhoff,,,
Donald Brun,,,Male
Peter Brüning,,,Male
Robert Brunner,,,Male
Albin Brunovsky,,,Male
Norman Bruns,,,Male
Günter Brus,,,Male
Grisha Bruskin,,,Male
Wim Brusse,,,Male
William Bryant,,,Male
