ConstituentID,DisplayName,Nationality
108,Peter Alexander,UNITED STATES OF AMERICA
111,Carlo Alfano,Italy
112,Jos R. Alicea,UNITED STATES OF AMERICA
113,Leopoldo and Guiseppe Alinari,Italy
114,James Alinder,UNITED STATES OF AMERICA
115,Yves Alix,France
116,Wobbe Alkema,Netherlands
117,William Allan,UNITED STATES OF AMERICA
118,Alexander Alland,UNITED STATES OF AMERICA
119,Harry Allen,UNITED STATES OF AMERICA
120,Terry Allen,UNITED STATES OF AMERICA
121,Adrian Allinson,United Kingdom
123,Carlos Alonso,Argentina
124,Glen Alps,UNITED STATES OF AMERICA
126,Henry Altchek,UNITED STATES OF AMERICA
127,Gerhard Altenbourg,Germany
128,Hobie Alter,UNITED STATES OF AMERICA
129,Harold Altman,UNITED STATES OF AMERICA
131,Gioacchino Altobelli,Italy
132,John Altoon,UNITED STATES OF AMERICA
135,Manuel çlvarez Bravo,Mexico
136,Dag Alveng,Norwegian
137,Getulio Alviani,Italy
138,Edmond-Franois Aman Jean,France
139,Kunihiro Amano,Japan
140,Jim Amaral,UNITED STATES OF AMERICA
141,Emilio Ambasz,Argentina
142,M. Ameen,Nationality unknown
143,Irving Amen,UNITED STATES OF AMERICA
144,Woody van Amen,Netherlands
145,Gregory Amenoff,UNITED STATES OF AMERICA
148,Florencia de Amesti,Chilean
149,Cuno Amiet,Switzerland
150,Francisco Amighetti Ruiz,Costa Rican
152,Ralph Ammirati,UNITED STATES OF AMERICA
153,Emma Amos,UNITED STATES OF AMERICA
154,Mauricio Amster Cats,Chilean
155,William Anastasi,UNITED STATES OF AMERICA
157,Stephen Ancona,UNITED STATES OF AMERICA
158,Ji_i Anderle,Czech
159,Gunnar Aagaard Andersen,Denmark
160,Karin Schou Andersen,Denmark
161,Clarence William Anderson,UNITED STATES OF AMERICA
162,Carl Anderson,UNITED STATES OF AMERICA
163,Dennis Anderson,UNITED STATES OF AMERICA
164,Jeremy Anderson,UNITED STATES OF AMERICA
165,James Anderson,United Kingdom
166,Jerry Anderson,UNITED STATES OF AMERICA
167,John S. Anderson,UNITED STATES OF AMERICA
168,Neil Anderson,UNITED STATES OF AMERICA
169,Paul L. Anderson,UNITED STATES OF AMERICA
170,Monika Andersson,Swedish
172,Joe Andoe,UNITED STATES OF AMERICA
173,Farnese de Andrade-Neto,Brazil
174,Carl Andre,UNITED STATES OF AMERICA
175,Pat Andrea,Netherlands
176,A. Andreas,France
177,Henning Andreasen,Denmark
178,Laura Andreson,UNITED STATES OF AMERICA
179,Mariano Andre,Spain
180,Benny Andrews,UNITED STATES OF AMERICA
181,Emmy Andriesse,Netherlands
182,Claudia Andujar,UNITED STATES OF AMERICA
183,Manuel Angeles Ortiz,Spain
184,Ludwig Angerer,Austria
185,Bruce Angrave,United Kingdom
186,Ral Anguiano,Mexico
188,Sibyl Anikeef,UNITED STATES OF AMERICA
189,James Craig Annan,United Kingdom
190,Thomas Annan,United Kingdom
193,David Annesley,United Kingdom
194,Horst Antes,Germany
195,William Anthony,UNITED STATES OF AMERICA
196,Stephen Antonakos,UNITED STATES OF AMERICA
198,Garo Antreasian,UNITED STATES OF AMERICA
199,Nemesio Antnez,Chilean
200,Richard Anuszkiewicz,UNITED STATES OF AMERICA
202,Carl Apfelschnitt,UNITED STATES OF AMERICA
